                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7616,                 2.9834,                 2.6599,                0.00637,                      1,                0.14214,                0.02233,                 1.3819,                 3.9627,                 2.3938,                      0,                      0,                      0
                      2,                 1.8217,                 2.8708,                 2.1358,                0.00617,                      1,                0.14214,                0.02265,                 1.3615,                 3.9845,                 2.3757,              1.634e-05,              1.634e-05,              1.634e-05
                      3,                0.97701,                 3.1673,                 1.7701,                0.00599,                      1,                0.14214,                0.02153,                 1.4455,                  4.188,                 2.3903,              3.202e-05,              3.202e-05,              3.202e-05
                      4,                  1.547,                  2.903,                  1.846,                0.00571,                      1,                0.11056,                0.01837,                 1.4835,                 4.2967,                 2.3683,             4.7039e-05,             4.7039e-05,             4.7039e-05
                      5,                 1.8375,                 3.3367,                 2.2271,                0.00571,                      1,                0.12437,                0.01725,                  1.534,                 4.4046,                   2.43,             6.1399e-05,             6.1399e-05,             6.1399e-05
                      6,                 2.0045,                 2.8831,                 2.4519,                0.00538,                      1,                0.11056,                0.01431,                 1.5699,                 4.4126,                 2.4821,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      7,                 1.8866,                 2.8064,                 2.1589,                0.00543,                      1,                0.01605,                0.00605,                 1.6466,                 4.4719,                 2.5211,             8.8138e-05,             8.8138e-05,             8.8138e-05
                      8,                 1.0033,                  2.672,                 1.3835,                0.00524,                      1,                0.00966,                0.00386,                 1.7727,                 4.6012,                 2.5426,             0.00010052,             0.00010052,             0.00010052
                      9,                 0.6335,                 2.6129,                 1.3583,                0.00515,                      1,                0.00957,                0.00478,                 1.9024,                 4.4238,                 2.5615,             0.00011224,             0.00011224,             0.00011224
                     10,                 1.0983,                 2.4151,                 1.1845,                0.00498,                      1,                0.01036,                0.00421,                 1.9243,                 4.5772,                 2.5299,             0.00012329,             0.00012329,             0.00012329
                     11,                 1.2472,                 2.4096,                 1.4672,                  0.005,                      1,                0.00816,                0.00489,                  1.971,                 5.0709,                 2.5761,             0.00013369,             0.00013369,             0.00013369
                     12,                0.70342,                 2.3181,                 1.4547,                 0.0049,                      1,                0.00737,                0.00442,                 1.9396,                 4.9382,                 2.5338,             0.00014343,             0.00014343,             0.00014343
                     13,                0.85924,                 2.9072,                 1.5208,                0.00483,                      1,                0.01131,                0.00597,                 1.6887,                 4.2591,                 2.4008,             0.00015251,             0.00015251,             0.00015251
                     14,                 1.1686,                  2.117,                 1.3426,                0.00488,                      1,                0.01244,                0.00738,                 1.5523,                 3.9482,                 2.2969,             0.00016093,             0.00016093,             0.00016093
                     15,                 1.0916,                  1.662,                 1.3094,                0.00493,                      1,                0.01309,                0.00786,                  1.366,                 3.7388,                 2.1882,             0.00016869,             0.00016869,             0.00016869
