                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 23.864,                      0,                      0,                      0,                      0,                      0,                      0,                 24.664,                      0,                      0,                      0,                      0
                      2,                      0,                 23.811,                      0,                      0,                      0,                      0,                      0,                      0,                 24.676,                      0,             1.4007e-05,             1.4007e-05,             1.4007e-05
                      3,                      0,                  23.78,                      0,                      0,                      0,                      0,                      0,                      0,                  24.69,                      0,             2.7448e-05,             2.7448e-05,             2.7448e-05
                      4,                      0,                 23.673,                      0,                      0,                      0,                      0,                      0,                      0,                 24.707,                      0,             4.0324e-05,             4.0324e-05,             4.0324e-05
                      5,                      0,                 23.609,                      0,                      0,                      0,                      0,                      0,                      0,                 24.724,                      0,             5.2633e-05,             5.2633e-05,             5.2633e-05
                      6,                      0,                 23.468,                      0,                      0,                      0,                      0,                      0,                      0,                 24.739,                      0,             6.4376e-05,             6.4376e-05,             6.4376e-05
                      7,                      0,                 23.352,                      0,                      0,                      0,                      0,                      0,                      0,                 24.751,                      0,             7.5554e-05,             7.5554e-05,             7.5554e-05
                      8,                      0,                 23.255,                      0,                      0,                      0,                      0,                      0,                      0,                  24.76,                      0,             8.6166e-05,             8.6166e-05,             8.6166e-05
                      9,                      0,                 23.112,                      0,                      0,                      0,                      0,                      0,                      0,                 24.761,                      0,             9.6212e-05,             9.6212e-05,             9.6212e-05
                     10,                      0,                 23.018,                      0,                      0,                      0,                      0,                      0,                      0,                 24.756,                      0,             0.00010569,             0.00010569,             0.00010569
                     11,                      0,                 22.801,                      0,                      0,                      0,                      0,                      0,                      0,                 24.742,                      0,             0.00011461,             0.00011461,             0.00011461
                     12,                      0,                 22.838,                      0,                      0,                      0,                      0,                      0,                      0,                 24.722,                      0,             0.00012295,             0.00012295,             0.00012295
                     13,                      0,                 22.696,                      0,                      0,                      0,                      0,                      0,                      0,                 24.699,                      0,             0.00013074,             0.00013074,             0.00013074
                     14,                      0,                  22.54,                      0,                      0,                      0,                      0,                      0,                      0,                 24.674,                      0,             0.00013795,             0.00013795,             0.00013795
                     15,                      0,                 22.489,                      0,                      0,                      0,                      0,                      0,                      0,                 24.653,                      0,              0.0001446,              0.0001446,              0.0001446
                     16,                      0,                 22.105,                      0,                      0,                      0,                      0,                      0,                      0,                 24.633,                      0,             0.00015069,             0.00015069,             0.00015069
                     17,                      0,                 22.074,                      0,                      0,                      0,                      0,                      0,                      0,                 24.616,                      0,             0.00015621,             0.00015621,             0.00015621
                     18,                      0,                 21.862,                      0,                      0,                      0,                      0,                      0,                      0,                 24.616,                      0,             0.00016116,             0.00016116,             0.00016116
                     19,                      0,                 21.754,                      0,                      0,                      0,                      0,                      0,                      0,                 24.658,                      0,             0.00016555,             0.00016555,             0.00016555
                     20,                      0,                 21.668,                      0,                      0,                      0,                      0,                      0,                      0,                 24.658,                      0,             0.00016937,             0.00016937,             0.00016937
                     21,                      0,                 21.673,                      0,                      0,                      0,                      0,                      0,                      0,                 24.709,                      0,             0.00017262,             0.00017262,             0.00017262
                     22,                      0,                 21.536,                      0,                      0,                      0,                      0,                      0,                      0,                 24.709,                      0,             0.00017531,             0.00017531,             0.00017531
                     23,                      0,                 21.561,                      0,                      0,                      0,                      0,                      0,                      0,                 24.797,                      0,             0.00017744,             0.00017744,             0.00017744
                     24,                      0,                 21.222,                      0,                      0,                      0,                      0,                      0,                      0,                 24.797,                      0,             0.00017899,             0.00017899,             0.00017899
                     25,                      0,                 21.249,                      0,                      0,                      0,                      0,                      0,                      0,                 24.872,                      0,             0.00017999,             0.00017999,             0.00017999
                     26,                      0,                 21.063,                      0,                      0,                      0,                      0,                      0,                      0,                 24.872,                      0,             0.00018041,             0.00018041,             0.00018041
                     27,                      0,                 21.184,                      0,                      0,                      0,                      0,                      0,                      0,                 24.977,                      0,             0.00018027,             0.00018027,             0.00018027
                     28,                      0,                 20.876,                      0,                      0,                      0,                      0,                      0,                      0,                 24.977,                      0,             0.00017957,             0.00017957,             0.00017957
                     29,                      0,                 20.943,                      0,                      0,                      0,                      0,                      0,                      0,                 25.056,                      0,             0.00017829,             0.00017829,             0.00017829
                     30,                      0,                 20.662,                      0,                      0,                      0,                      0,                      0,                      0,                 25.056,                      0,             0.00017646,             0.00017646,             0.00017646
                     31,                      0,                 20.739,                      0,                      0,                      0,                      0,                      0,                      0,                 25.189,                      0,             0.00017405,             0.00017405,             0.00017405
                     32,                      0,                 20.526,                      0,                      0,                      0,                      0,                      0,                      0,                 25.189,                      0,             0.00017108,             0.00017108,             0.00017108
                     33,                      0,                 20.537,                      0,                      0,                      0,                      0,                      0,                      0,                 25.176,                      0,             0.00016755,             0.00016755,             0.00016755
                     34,                      0,                 20.338,                      0,                      0,                      0,                      0,                      0,                      0,                 25.176,                      0,             0.00016345,             0.00016345,             0.00016345
                     35,                      0,                 20.418,                      0,                      0,                      0,                      0,                      0,                      0,                 25.129,                      0,             0.00015878,             0.00015878,             0.00015878
                     36,                      0,                 20.041,                      0,                      0,                      0,                      0,                      0,                      0,                 25.129,                      0,             0.00015355,             0.00015355,             0.00015355
                     37,                      0,                 20.017,                      0,                      0,                      0,                      0,                      0,                      0,                 24.908,                      0,             0.00014775,             0.00014775,             0.00014775
                     38,                      0,                 20.487,                      0,                      0,                      0,                      0,                      0,                      0,                 24.908,                      0,             0.00014138,             0.00014138,             0.00014138
                     39,                      0,                 20.637,                      0,                      0,                      0,                      0,                      0,                      0,                 24.803,                      0,             0.00013445,             0.00013445,             0.00013445
                     40,                      0,                 19.746,                      0,                      0,                      0,                      0,                      0,                      0,                 24.803,                      0,             0.00012696,             0.00012696,             0.00012696
                     41,                      0,                 21.048,                      0,                      0,                      0,                      0,                      0,                      0,                 24.533,                      0,             0.00011889,             0.00011889,             0.00011889
                     42,                      0,                 20.984,                      0,                      0,                      0,                      0,                      0,                      0,                 24.533,                      0,             0.00011026,             0.00011026,             0.00011026
                     43,                      0,                 20.814,                      0,                      0,                      0,                      0,                      0,                      0,                 24.354,                      0,             0.00010107,             0.00010107,             0.00010107
                     44,                      0,                 19.633,                      0,                      0,                      0,                      0,                      0,                      0,                 24.354,                      0,              9.131e-05,              9.131e-05,              9.131e-05
                     45,                      0,                 19.791,                      0,                      0,                      0,                      0,                      0,                      0,                 24.293,                      0,             8.0984e-05,             8.0984e-05,             8.0984e-05
